unemployed area_buildings births deaths moves_in moves_out cars trucks motorbikes buildings_until_1900 buildings_1900-1918 buildings_1919-1948 buildings_1949-1957 buildings_1958-1962 buildings_1963-1972 buildings_1973-1982 buildings_1983-1992 buildings_1993-2001 households children male female social_insurance benefits age_under_26 age_26-35 age_36-45 age_46-55 age_56-65 age_above_65
Berghofen_Dorf 277 282228 43 61 156 177 3010 118 259 97 93 148 107 213 420 178 46 41 654 1032 2020 1189 1874 191 97 409 696 685 658 664
Ostkirchstrasse 153 119800 20 35 69 75 1398 40 142 48 32 80 89 167 86 47 62 65 353 556 957 549 976 61 48 271 380 327 268 212
Berghofer_Mark 71 103024 13 21 61 60 1226 43 123 97 41 27 58 19 68 132 56 45 226 341 806 508 761 12 33 233 311 284 258 195
Schuren-Neu 193 141556 31 42 140 71 1654 26 116 8 2 5 7 43 247 28 36 56 516 782 1113 565 1043 230 62 281 415 330 264 326
Schuren-Alt 222 157208 34 26 121 140 1868 153 218 139 87 50 79 94 46 153 55 81 449 714 1247 747 1376 129 62 368 559 453 331 221
Solde-Nord 226 160042 21 76 138 127 2082 55 162 110 50 21 31 80 328 106 24 47 412 628 1192 714 1342 122 73 327 458 402 356 290
Solde-Sud 86 76814 13 16 54 56 867 26 79 30 20 8 18 109 129 48 9 56 206 312 585 317 638 50 32 144 238 179 153 156
Solderholz 113 150311 23 37 86 95 1804 49 198 99 35 53 11 23 303 167 61 188 414 727 1254 719 1136 52 41 293 518 373 443 305
Lichtendorf 74 111155 18 31 87 101 1304 30 129 42 16 27 24 96 260 96 51 55 284 437 934 482 841 11 35 196 350 293 293 249
Benninghofen 231 173637 27 105 81 83 1791 66 148 25 37 173 88 41 135 73 39 33 484 718 1182 690 1237 276 60 237 444 409 360 362
Loh 117 175789 30 24 83 93 2050 46 153 33 26 126 50 55 317 200 103 72 420 658 1306 863 1223 57 55 229 459 577 482 367
Schulzentrum_Hacheney 44 31908 4 6 19 25 312 10 33 10 1 3 7 12 42 16 2 14 103 167 213 121 264 34 11 57 83 75 58 50
Pferdebachtal 27 32286 2 9 21 11 551 41 20 2 1 49 63 78 35 4 7 4 59 93 245 126 187 14 6 41 69 72 86 97
Remberg 627 276942 56 101 288 253 2453 108 224 89 224 192 398 147 83 48 23 11 681 1072 1706 890 2218 652 113 445 638 576 423 401
Horde 342 129304 60 52 250 160 1207 85 76 80 96 23 54 22 19 21 12 28 422 727 737 323 1053 474 61 246 287 245 127 94
Phonix-West 354 127816 37 40 175 180 1152 63 98 34 70 82 127 25 16 9 6 5 304 456 722 338 1009 411 60 272 239 209 152 128
Brucherhof 463 227026 42 70 284 243 1883 92 186 83 102 152 187 57 43 17 7 4 467 718 1262 680 1813 478 118 435 435 401 297 256
Clarenberg 401 97916 34 29 122 91 667 19 48 25 18 23 10 5 37 11 2 1 434 750 553 193 780 881 51 143 166 174 119 93
Hochsten 61 103133 17 19 63 51 1290 31 99 43 32 69 48 3 44 292 36 42 220 339 855 520 735 10 36 193 264 312 399 171
Holzen 219 278729 47 53 206 195 3224 190 298 69 30 99 118 119 409 459 119 150 694 1085 2085 1321 1789 131 98 437 758 772 758 583
Syburg 28 52217 9 10 43 45 550 34 55 48 18 45 10 41 50 60 18 7 78 123 354 217 258 6 14 58 129 124 136 110
Buchholz 15 28577 4 3 14 18 297 15 41 21 9 21 20 40 30 19 5 8 52 81 162 151 158 6 10 35 86 71 60 51
Wellinghofen 152 138778 15 37 89 102 1489 54 142 18 42 89 51 80 82 95 60 34 391 596 1004 570 1020 112 48 221 392 333 298 282
Durchstrasse 100 154480 23 34 49 84 1694 22 111 12 10 49 82 47 364 112 22 57 299 444 1114 689 900 72 44 223 407 319 397 413
Wichlinghofen 76 118865 22 19 79 66 1405 38 128 23 7 92 73 52 160 139 21 51 238 370 871 629 820 16 23 218 361 337 303 258
Schonau 38 54839 11 8 47 43 530 29 57 10 55 149 21 7 14 17 9 12 112 185 358 219 349 4 10 78 141 152 104 92
Ostenbergstrasse 17 22017 3 3 22 18 238 2 18 10 7 40 22 7 9 10 3 2 48 76 159 96 178 9 8 33 56 69 53 36
Kruckenweg 185 147565 35 42 194 155 1522 56 154 24 44 41 48 154 121 85 54 6 345 530 1021 564 1215 106 58 289 342 332 267 297
Baroper_Markt 85 61806 11 46 85 70 613 15 59 22 18 31 29 14 35 34 28 5 154 216 424 223 571 43 28 122 187 132 107 71
Zechenplatz 25 13688 4 2 17 5 210 26 16 2 5 6 23 15 4 1 1 1 27 38 97 50 106 13 3 33 39 22 18 32
Barop 63 113545 14 22 70 54 1340 38 100 50 17 34 73 30 64 250 33 87 240 372 850 560 741 10 30 178 349 331 322 200
Brunninghausen 23 47004 2 9 21 12 496 12 36 3 8 50 94 35 36 9 11 2 87 147 290 216 241 6 9 54 120 110 116 97
Renninghausen 109 111008 14 76 57 48 1301 40 93 7 14 127 78 51 132 66 15 13 265 402 814 456 692 59 45 148 245 276 269 287
Eichlinghofen 152 157272 35 66 319 267 1632 45 155 98 38 56 147 57 101 148 52 57 399 616 1179 600 1271 85 51 323 380 389 379 257
Universitat 79 90120 22 8 542 400 1681 54 86 41 8 4 7 20 1 52 113 99 265 379 624 377 1134 23 55 195 317 242 125 67
Salingen 4 5374 2 0 6 5 77 7 8 1 1 21 4 0 3 1 2 2 15 23 50 29 44 1 5 8 13 27 15 11
Hombruch 383 201091 48 61 248 222 1960 55 160 78 102 273 100 32 43 31 25 30 515 782 1298 722 1884 288 101 436 541 384 303 255
Deutsch-Luxemburger-Strasse 275 208153 34 51 178 123 2129 82 213 60 40 145 219 223 114 106 32 31 493 760 1434 737 1626 160 75 330 532 473 390 371
Siedlung_Rotkehlchenweg 38 45055 3 12 22 11 417 4 29 1 5 3 17 3 98 0 5 0 84 123 285 157 241 17 4 44 86 81 83 144
Persebeck 89 85002 7 22 71 38 961 31 125 24 2 19 33 145 98 91 31 20 216 328 679 358 652 28 40 128 239 259 207 164
Kruckel 25 29913 5 3 42 18 446 40 52 1 18 29 26 30 22 26 22 23 87 135 323 142 237 5 7 61 122 86 93 96
Schnee 23 27656 6 2 41 24 344 14 58 40 27 23 10 8 15 23 3 24 85 153 223 149 207 6 9 50 107 77 76 53
Grossholthausen 13 10709 1 1 7 9 126 7 21 25 9 24 3 0 3 3 2 0 21 30 83 59 78 2 5 27 29 26 28 27
Kirchhorde-Nord 93 57281 16 10 17 39 600 7 40 2 2 7 1 4 183 12 3 3 216 376 414 236 401 99 21 78 152 138 123 138
Kleinholthausen 17 40472 4 40 22 20 439 23 36 13 6 8 17 18 102 20 10 6 64 96 256 202 250 5 7 53 98 93 114 93
Kirchhorde-Ost 66 134077 22 19 61 62 1356 26 103 23 13 158 101 62 97 70 52 24 233 374 835 588 725 17 34 169 293 335 289 303
Kirchhorde-West 63 102713 17 11 90 98 1204 28 69 28 24 61 31 27 126 106 34 54 212 320 771 486 633 20 19 187 277 256 277 241
Lottringhausen-Nord 55 43913 14 8 27 23 439 2 47 3 3 7 11 8 112 10 2 5 129 198 285 190 319 53 9 59 102 100 118 87
Lottringhausen-Sud 38 37879 5 9 43 29 425 11 39 6 6 33 23 16 35 35 1 27 85 138 271 198 263 8 19 95 125 84 84 62
Schanze 9 16288 5 3 12 10 195 23 13 13 9 26 4 1 4 2 6 17 34 51 115 78 114 0 10 23 48 44 37 31
